                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.037302,                0.01481,              0.0052588,              0.0010421,                0.86573,                0.96942,                 0.9646,                0.57223,                0.87235,                0.97854,                0.97282,                0.58304,               0.025475,              0.0097965,              0.0042116,             0.00065194,                0.00931,                0.00931,                0.00931
                     25,               0.041241,               0.014777,              0.0050473,              0.0010784,                0.88973,                 0.9558,                0.95623,                0.44993,                0.90996,                 0.9633,                 0.9697,                0.52315,               0.031451,              0.0092937,              0.0043314,             0.00062663,                0.00928,                0.00928,                0.00928
                     26,                0.04082,               0.014856,              0.0054731,              0.0010231,                0.88266,                 0.9633,                0.96222,                 0.7009,                0.77301,                0.85386,                0.83178,                0.59569,               0.027557,               0.010004,              0.0041705,             0.00060671,                0.00925,                0.00925,                0.00925
                     27,               0.037886,               0.013096,              0.0047893,              0.0010131,                0.87459,                0.96205,                0.96501,                0.50697,                0.87597,                0.96312,                0.97121,                0.62129,               0.027557,              0.0080157,              0.0045855,             0.00056222,                0.00922,                0.00922,                0.00922
                     28,               0.037929,               0.013105,              0.0048006,              0.0010528,                0.87514,                0.96024,                0.96715,                0.69222,                0.91869,                0.86442,                0.92593,                0.56671,               0.020922,              0.0061699,              0.0047242,             0.00058691,                0.00919,                0.00919,                0.00919
                     29,               0.039044,               0.020526,              0.0051109,              0.0036398,                0.84679,                0.87314,                0.97225,                0.65667,                0.84995,                0.87492,                0.97777,                0.72833,               0.021803,              0.0072806,              0.0048596,             0.00059587,                0.00916,                0.00916,                0.00916
                     30,               0.036502,               0.013267,              0.0050564,               0.001119,                0.86728,                0.97382,                0.97082,                0.67299,                 0.8713,                0.97893,                0.97775,                0.74377,               0.022441,              0.0084212,              0.0049637,             0.00062534,                0.00913,                0.00913,                0.00913
                     31,               0.036162,               0.015063,              0.0047395,              0.0012671,                0.94544,                0.94779,                0.96084,                 0.6256,                0.93045,                0.93112,                0.95069,                0.55964,               0.025411,              0.0079262,              0.0043524,             0.00067915,                 0.0091,                 0.0091,                 0.0091
                     32,               0.037703,               0.013451,              0.0048332,              0.0011561,                0.45747,                0.58858,                0.60038,                0.24955,                0.49209,                0.67164,                0.65598,                0.26642,               0.035091,              0.0093129,              0.0064979,               0.001098,                0.00907,                0.00907,                0.00907
                     33,               0.034592,               0.012824,              0.0047124,             0.00098279,                0.95218,                 0.9419,                 0.9696,                 0.7382,                0.93769,                0.92718,                0.95331,                0.71218,               0.021989,               0.010642,              0.0042289,             0.00053934,                0.00904,                0.00904,                0.00904
